,total_voters,null_votes,valid_votes,url,region,voters,unmarked_votes,no_votes_p,yes_votes_p,yes_votes,no_votes,vulner_idx,yes_no_ratio,elec_part,h_affect
TAMINANGO,13578,94,4820,http://plebiscito.registraduria.gov.co/99PL/DPL23133ZZZZZZZZZZZZ_L1.htm,NARIÑO,5014,100,0.2132,0.7867,3792,1028,0,3.68996247655,0.369273825306,0
TANGUA,9879,46,3126,http://plebiscito.registraduria.gov.co/99PL/DPL23136ZZZZZZZZZZZZ_L1.htm,NARIÑO,3198,26,0.4692,0.5307,1659,1467,0,1.1310741688,0.323716975402,0
TARAIRA,1377,1,308,http://plebiscito.registraduria.gov.co/99PL/DPL68017ZZZZZZZZZZZZ_L1.htm,VAUPES,345,36,0.211,0.7889,243,65,3,3.73886255924,0.250544662309,0
TARAPACA,1304,4,333,http://plebiscito.registraduria.gov.co/99PL/DPL60022ZZZZZZZZZZZZ_L1.htm,AMAZONAS,344,7,0.2042,0.7957,265,68,0,3.89666993144,0.263803680982,0
TARAZA,26186,110,5788,http://plebiscito.registraduria.gov.co/99PL/DPL01270ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,5988,90,0.3992,0.6007,3477,2311,3,1.50475951904,0.228671809364,0
TARQUI,11492,59,4442,http://plebiscito.registraduria.gov.co/99PL/DPL19079ZZZZZZZZZZZZ_L1.htm,HUILA,4532,31,0.6787,0.3212,1427,3015,0,0.473257698541,0.394361294814,0
TARSO,5883,14,1194,http://plebiscito.registraduria.gov.co/99PL/DPL01271ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1230,22,0.5787,0.4212,503,691,0,0.727838258165,0.20907700153,0
TASCO,4986,37,1554,http://plebiscito.registraduria.gov.co/99PL/DPL07298ZZZZZZZZZZZZ_L1.htm,BOYACA,1598,7,0.4124,0.5875,913,641,0,1.42458777886,0.3204973927,0
TAURAMENA,15751,139,8246,http://plebiscito.registraduria.gov.co/99PL/DPL46850ZZZZZZZZZZZZ_L1.htm,CASANARE,8445,60,0.7321,0.2678,2209,6037,0,0.365797022265,0.536156434512,0
TAUSA,5720,63,2623,http://plebiscito.registraduria.gov.co/99PL/DPL15274ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2705,19,0.719,0.2809,737,1886,0,0.390681502086,0.472902097902,0
TELLO,10814,83,4019,http://plebiscito.registraduria.gov.co/99PL/DPL19082ZZZZZZZZZZZZ_L1.htm,HUILA,4139,37,0.5274,0.4725,1899,2120,1,0.89590443686,0.382744590346,0
TENA,6197,23,2266,http://plebiscito.registraduria.gov.co/99PL/DPL15277ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2308,19,0.4536,0.5463,1238,1028,0,1.20436507937,0.372438276585,0
TENERIFE,9842,39,2907,http://plebiscito.registraduria.gov.co/99PL/DPL21085ZZZZZZZZZZZZ_L1.htm,MAGDALENA,2974,28,0.1506,0.8493,2469,438,0,5.63944223108,0.302174354806,1
TENJO,14029,93,6871,http://plebiscito.registraduria.gov.co/99PL/DPL15280ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,6984,20,0.5774,0.4225,2903,3968,0,0.731728437825,0.497825931998,0
TENZA,3555,26,1620,http://plebiscito.registraduria.gov.co/99PL/DPL07301ZZZZZZZZZZZZ_L1.htm,BOYACA,1663,17,0.3654,0.6345,1028,592,0,1.73645320197,0.467791842475,0
TEORAMA,9725,99,2809,http://plebiscito.registraduria.gov.co/99PL/DPL25091ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,2953,45,0.1352,0.8647,2429,380,0,6.39571005917,0.303650385604,0
TERUEL,6481,36,2537,http://plebiscito.registraduria.gov.co/99PL/DPL19085ZZZZZZZZZZZZ_L1.htm,HUILA,2584,11,0.7091,0.2908,738,1799,0,0.410097306445,0.398703903719,0
TESALIA (CARNICERIAS),7879,60,3347,http://plebiscito.registraduria.gov.co/99PL/DPL19025ZZZZZZZZZZZZ_L1.htm,HUILA,3431,24,0.7645,0.2354,788,2559,0,0.307913669065,0.435461352964,0
TIBACUY,3706,20,1459,http://plebiscito.registraduria.gov.co/99PL/DPL15283ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1508,29,0.4667,0.5332,778,681,0,1.14248982216,0.406907717215,0
TIBANA,7402,57,2052,http://plebiscito.registraduria.gov.co/99PL/DPL07304ZZZZZZZZZZZZ_L1.htm,BOYACA,2123,14,0.3606,0.6393,1312,740,0,1.77287853577,0.286814374493,0
TIBASOSA,8412,75,3527,http://plebiscito.registraduria.gov.co/99PL/DPL07307ZZZZZZZZZZZZ_L1.htm,BOYACA,3615,13,0.4777,0.5222,1842,1685,0,1.0931546996,0.429743223966,0
TIBIRITA,3018,9,1024,http://plebiscito.registraduria.gov.co/99PL/DPL15286ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1064,31,0.3486,0.6513,667,357,0,1.86833046472,0.352551358516,0
TIBU,31208,228,8855,http://plebiscito.registraduria.gov.co/99PL/DPL25093ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,9182,99,0.3396,0.6603,5847,3008,3,1.94434628975,0.294219430915,0
TIERRALTA,60877,311,18031,http://plebiscito.registraduria.gov.co/99PL/DPL13058ZZZZZZZZZZZZ_L1.htm,CORDOBA,18665,323,0.3023,0.6976,12579,5452,3,2.30764141581,0.30660183649,0
TIMANA,15078,65,5912,http://plebiscito.registraduria.gov.co/99PL/DPL19088ZZZZZZZZZZZZ_L1.htm,HUILA,6041,64,0.7562,0.2437,1441,4471,0,0.322269240942,0.400649953575,0
TIMBIO,24676,191,9104,http://plebiscito.registraduria.gov.co/99PL/DPL11088ZZZZZZZZZZZZ_L1.htm,CAUCA,9414,119,0.4456,0.5543,5047,4057,1,1.24394075404,0.381504295672,0
TIMBIQUI,14326,64,6255,http://plebiscito.registraduria.gov.co/99PL/DPL11091ZZZZZZZZZZZZ_L1.htm,CAUCA,6348,29,0.0591,0.9408,5885,370,3,15.9187817259,0.443110428591,0
