,total_voters,null_votes,valid_votes,url,region,voters,unmarked_votes,no_votes_p,yes_votes_p,yes_votes,no_votes,vulner_idx,yes_no_ratio,elec_part,h_affect
BAHIA SOLANO (MUTIS),7582,20,2306,http://plebiscito.registraduria.gov.co/99PL/DPL17008ZZZZZZZZZZZZ_L1.htm,CHOCO,2350,24,0.1686,0.8313,1917,389,2,4.93060498221,0.309944605645,0
BAJO BAUDO (PIZARRO),10197,21,2974,http://plebiscito.registraduria.gov.co/99PL/DPL17010ZZZZZZZZZZZZ_L1.htm,CHOCO,3038,43,0.0783,0.9216,2741,233,3,11.7701149425,0.29793076395,0
BALBOA,5565,44,1965,http://plebiscito.registraduria.gov.co/99PL/DPL24013ZZZZZZZZZZZZ_L1.htm,RISARALDA,2032,23,0.5465,0.4534,891,1074,0,0.829643183898,0.365139263252,0
BARANOA,45824,58,12352,http://plebiscito.registraduria.gov.co/99PL/DPL03004ZZZZZZZZZZZZ_L1.htm,ATLANTICO,12549,139,0.2765,0.7234,8936,3416,0,2.61627486438,0.273852129888,1
BARAYA,5983,17,2263,http://plebiscito.registraduria.gov.co/99PL/DPL19019ZZZZZZZZZZZZ_L1.htm,HUILA,2307,27,0.467,0.5329,1206,1057,2,1.14111349036,0.385592512118,0
BARBACOAS,20859,63,4222,http://plebiscito.registraduria.gov.co/99PL/DPL23016ZZZZZZZZZZZZ_L1.htm,NARIÑO,4361,76,0.2517,0.7482,3159,1063,3,2.9725864124,0.209070425236,0
BARBOSA,24199,162,8965,http://plebiscito.registraduria.gov.co/99PL/DPL27013ZZZZZZZZZZZZ_L1.htm,SANTANDER,9191,64,0.5077,0.4922,4413,4552,0,0.969470159543,0.37980908302,0
BARICHARA,6261,51,2537,http://plebiscito.registraduria.gov.co/99PL/DPL27016ZZZZZZZZZZZZ_L1.htm,SANTANDER,2608,20,0.4276,0.5723,1452,1085,0,1.33840037418,0.416546877496,0
BARRANCA DE UPIA,4287,34,1717,http://plebiscito.registraduria.gov.co/99PL/DPL52006ZZZZZZZZZZZZ_L1.htm,META,1762,11,0.6429,0.357,613,1104,0,0.555296313579,0.411010030324,0
BARRANCABERMEJA,167609,1153,75700,http://plebiscito.registraduria.gov.co/99PL/DPL27019ZZZZZZZZZZZZ_L1.htm,SANTANDER,77255,402,0.4945,0.5054,38260,37440,1,1.02204246714,0.460923936065,0
BARRANCAS,23913,73,6368,http://plebiscito.registraduria.gov.co/99PL/DPL48004ZZZZZZZZZZZZ_L1.htm,LA GUAJIRA,6454,13,0.2836,0.7163,4562,1806,0,2.52574047955,0.269895036173,1
BARRANCO DE LOBA,11068,22,2749,http://plebiscito.registraduria.gov.co/99PL/DPL05010ZZZZZZZZZZZZ_L1.htm,BOLIVAR,2830,59,0.467,0.5329,1465,1284,0,1.14111349036,0.255692085291,1
BARRANCO MINAS,1986,5,365,http://plebiscito.registraduria.gov.co/99PL/DPL50070ZZZZZZZZZZZZ_L1.htm,GUAINIA,372,2,0.1835,0.8164,298,67,0,4.44904632153,0.187311178248,0
BARRANQUILLA,1029268,1111,254217,http://plebiscito.registraduria.gov.co/99PL/DPL03001ZZZZZZZZZZZZ_L1.htm,ATLANTICO,256375,1047,0.4255,0.5744,146039,108178,0,1.34994124559,0.24908478647,1
BECERRIL,14502,58,4540,http://plebiscito.registraduria.gov.co/99PL/DPL12180ZZZZZZZZZZZZ_L1.htm,CESAR,4642,44,0.3936,0.6063,2753,1787,0,1.54039634146,0.320093780168,0
BELALCAZAR,10118,52,3619,http://plebiscito.registraduria.gov.co/99PL/DPL09022ZZZZZZZZZZZZ_L1.htm,CALDAS,3890,219,0.5816,0.4183,1514,2105,0,0.719222833563,0.384463332674,0
BELEN,5328,32,2352,http://plebiscito.registraduria.gov.co/99PL/DPL23017ZZZZZZZZZZZZ_L1.htm,NARIÑO,2419,35,0.3971,0.6028,1418,934,0,1.51800554017,0.454016516517,0
BELEN DE LOS ANDAQUIES,7573,59,2505,http://plebiscito.registraduria.gov.co/99PL/DPL44004ZZZZZZZZZZZZ_L1.htm,CAQUETA,2600,36,0.6003,0.3996,1001,1504,0,0.665667166417,0.343324970289,0
BELEN DE UMBRIA,21462,143,6917,http://plebiscito.registraduria.gov.co/99PL/DPL24021ZZZZZZZZZZZZ_L1.htm,RISARALDA,7133,73,0.6184,0.3815,2639,4278,0,0.61691461837,0.332354859752,0
BELGICA,1487,0,385,http://plebiscito.registraduria.gov.co/99PL/DPL88190ZZZZZZZZZZZZ_L1.htm,CONSULADOS,386,1,0.1844,0.8155,314,71,0,4.42245119306,0.259583053127,0
BELLO,318411,1577,119764,http://plebiscito.registraduria.gov.co/99PL/DPL01049ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,121850,509,0.6356,0.3643,43642,76122,0,0.573159219635,0.382681502838,0
BELMIRA,4807,17,1584,http://plebiscito.registraduria.gov.co/99PL/DPL01046ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1617,16,0.5662,0.4337,687,897,0,0.765983751325,0.336384439359,0
BELTRAN,1987,6,646,http://plebiscito.registraduria.gov.co/99PL/DPL15019ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,661,9,0.503,0.4969,321,325,0,0.987872763419,0.332662304982,0
BERBEO,1465,15,568,http://plebiscito.registraduria.gov.co/99PL/DPL07016ZZZZZZZZZZZZ_L1.htm,BOYACA,588,5,0.3186,0.6813,387,181,0,2.1384180791,0.401365187713,0
BETANIA,8372,22,1576,http://plebiscito.registraduria.gov.co/99PL/DPL01052ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1609,11,0.7043,0.2956,466,1110,0,0.419707511004,0.192188246536,0
BETEITIVA,1915,19,659,http://plebiscito.registraduria.gov.co/99PL/DPL07019ZZZZZZZZZZZZ_L1.htm,BOYACA,685,7,0.3823,0.6176,407,252,0,1.61548522103,0.357702349869,0
BETULIA,3989,39,1453,http://plebiscito.registraduria.gov.co/99PL/DPL27022ZZZZZZZZZZZZ_L1.htm,SANTANDER,1503,11,0.5732,0.4267,620,833,0,0.74441730635,0.376786161945,0
BITUIMA,2823,8,850,http://plebiscito.registraduria.gov.co/99PL/DPL15022ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,871,13,0.4658,0.5341,454,396,0,1.1466294547,0.308537017357,0
BOAVITA,5162,40,1800,http://plebiscito.registraduria.gov.co/99PL/DPL07022ZZZZZZZZZZZZ_L1.htm,BOYACA,1866,26,0.5566,0.4433,798,1002,0,0.796442687747,0.361487795428,0
BOCHALEMA,6046,50,2866,http://plebiscito.registraduria.gov.co/99PL/DPL25010ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,2941,25,0.6231,0.3768,1080,1786,0,0.604718343765,0.486437313927,0
BOGOTA DC,5547172,25213,2538545,http://plebiscito.registraduria.gov.co/99PL/DPL16001ZZZZZZZZZZZZ_L1.htm,BOGOTA DC,2570359,6601,0.4392,0.5607,1423612,1114933,0,1.27663934426,0.463363854591,0
BOJACA,5893,76,3116,http://plebiscito.registraduria.gov.co/99PL/DPL15025ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3208,16,0.6017,0.3982,1241,1875,0,0.661791590494,0.544374681826,0
BOJAYA (BELLAVISTA),6868,15,2065,http://plebiscito.registraduria.gov.co/99PL/DPL17011ZZZZZZZZZZZZ_L1.htm,CHOCO,2086,6,0.0421,0.9578,1978,87,0,22.7505938242,0.303727431567,0
BOLIVAR,13389,75,4824,http://plebiscito.registraduria.gov.co/99PL/DPL31016ZZZZZZZZZZZZ_L1.htm,VALLE,4964,65,0.5719,0.428,2065,2759,0,0.748382584368,0.370752109941,0
BOLIVIA,726,0,127,http://plebiscito.registraduria.gov.co/99PL/DPL88215ZZZZZZZZZZZZ_L1.htm,CONSULADOS,127,0,0.4724,0.5275,67,60,0,1.116638442,0.174931129477,0
BOSCONIA,26471,109,8572,http://plebiscito.registraduria.gov.co/99PL/DPL12200ZZZZZZZZZZZZ_L1.htm,CESAR,8781,100,0.4191,0.5808,4979,3593,0,1.38582677165,0.331721506554,0
BOYACA,4201,24,1033,http://plebiscito.registraduria.gov.co/99PL/DPL07025ZZZZZZZZZZZZ_L1.htm,BOYACA,1073,16,0.4181,0.5818,601,432,0,1.39153312605,0.255415377291,0
BRASIL,2029,2,474,http://plebiscito.registraduria.gov.co/99PL/DPL88220ZZZZZZZZZZZZ_L1.htm,CONSULADOS,476,0,0.1814,0.8185,388,86,0,4.51212789416,0.234598324298,0
BRICEÑO,2098,7,753,http://plebiscito.registraduria.gov.co/99PL/DPL07028ZZZZZZZZZZZZ_L1.htm,BOYACA,772,12,0.3745,0.6254,471,282,0,1.6699599466,0.367969494757,0
BUCARAMANGA,495063,1982,223128,http://plebiscito.registraduria.gov.co/99PL/DPL27001ZZZZZZZZZZZZ_L1.htm,SANTANDER,225567,457,0.5511,0.4488,100143,122985,0,0.814371257485,0.455632919447,0
BUCARASICA,4108,70,1398,http://plebiscito.registraduria.gov.co/99PL/DPL25013ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,1498,30,0.7045,0.2954,413,985,0,0.419304471256,0.364654333009,0
BUENAVENTURA,219150,1525,60235,http://plebiscito.registraduria.gov.co/99PL/DPL31019ZZZZZZZZZZZZ_L1.htm,VALLE,62389,629,0.2933,0.7066,42565,17670,3,2.40913740198,0.284686287931,0
BUENAVISTA,9619,22,3180,http://plebiscito.registraduria.gov.co/99PL/DPL28010ZZZZZZZZZZZZ_L1.htm,SUCRE,3250,48,0.3122,0.6877,2187,993,0,2.20275464446,0.337872959767,0
BUENOS AIRES,15556,188,6367,http://plebiscito.registraduria.gov.co/99PL/DPL11010ZZZZZZZZZZZZ_L1.htm,CAUCA,6698,143,0.2784,0.7215,4594,1773,1,2.59159482759,0.430573412188,0
BUENOS AIRES (PACOA),1080,3,186,http://plebiscito.registraduria.gov.co/99PL/DPL68013ZZZZZZZZZZZZ_L1.htm,VAUPES,190,1,0.086,0.9139,170,16,0,10.626744186,0.175925925926,0
BUESACO,16930,109,5835,http://plebiscito.registraduria.gov.co/99PL/DPL23019ZZZZZZZZZZZZ_L1.htm,NARIÑO,6029,85,0.4994,0.5005,2921,2914,0,1.00220264317,0.356113408151,0
BUGA,100078,551,41528,http://plebiscito.registraduria.gov.co/99PL/DPL31022ZZZZZZZZZZZZ_L1.htm,VALLE,42281,202,0.4953,0.5046,20956,20572,0,1.01877649909,0.422480465237,0
BUGALAGRANDE,19020,136,6911,http://plebiscito.registraduria.gov.co/99PL/DPL31025ZZZZZZZZZZZZ_L1.htm,VALLE,7101,54,0.4245,0.5754,3977,2934,0,1.3554770318,0.37334384858,0
BURITICA,6829,20,1364,http://plebiscito.registraduria.gov.co/99PL/DPL01061ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1406,22,0.6524,0.3475,474,890,0,0.53264868179,0.205886659833,0
BUSBANZA,794,7,357,http://plebiscito.registraduria.gov.co/99PL/DPL07034ZZZZZZZZZZZZ_L1.htm,BOYACA,370,6,0.5126,0.4873,174,183,0,0.950643776824,0.465994962217,0
CABRERA,1644,10,678,http://plebiscito.registraduria.gov.co/99PL/DPL27028ZZZZZZZZZZZZ_L1.htm,SANTANDER,695,7,0.3421,0.6578,446,232,0,1.92282958199,0.422749391727,0
CABUYARO,4569,30,1900,http://plebiscito.registraduria.gov.co/99PL/DPL52008ZZZZZZZZZZZZ_L1.htm,META,1943,13,0.6221,0.3778,718,1182,0,0.60729786208,0.42525716787,0
CACAHUAL,338,1,24,http://plebiscito.registraduria.gov.co/99PL/DPL50073ZZZZZZZZZZZZ_L1.htm,GUAINIA,25,0,0.2916,0.7083,17,7,0,2.42901234568,0.0739644970414,0
CACERES,19788,83,3864,http://plebiscito.registraduria.gov.co/99PL/DPL01064ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,4004,57,0.3514,0.6485,2506,1358,3,1.84547524189,0.202344855468,0
CACHIPAY,8749,41,3442,http://plebiscito.registraduria.gov.co/99PL/DPL15030ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3505,22,0.5101,0.4898,1686,1756,0,0.960203881592,0.400617213396,0
CACHIRA,6959,28,2591,http://plebiscito.registraduria.gov.co/99PL/DPL25019ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,2634,15,0.795,0.2049,531,2060,0,0.257735849057,0.378502658428,0
CACOTA,2156,24,845,http://plebiscito.registraduria.gov.co/99PL/DPL25016ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,873,4,0.5112,0.4887,413,432,0,0.955985915493,0.404916512059,0
CAICEDO,6091,43,1514,http://plebiscito.registraduria.gov.co/99PL/DPL01067ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1600,43,0.6083,0.3916,593,921,0,0.643761301989,0.262682646528,0
CAICEDONIA,28321,186,9992,http://plebiscito.registraduria.gov.co/99PL/DPL31028ZZZZZZZZZZZZ_L1.htm,VALLE,10321,143,0.611,0.3889,3886,6106,0,0.636497545008,0.364429222132,0
CAIMITO,8757,24,2749,http://plebiscito.registraduria.gov.co/99PL/DPL28020ZZZZZZZZZZZZ_L1.htm,SUCRE,2814,41,0.2266,0.7733,2126,623,0,3.41262135922,0.321342925659,0
CAJAMARCA,16190,85,5907,http://plebiscito.registraduria.gov.co/99PL/DPL29022ZZZZZZZZZZZZ_L1.htm,TOLIMA,6046,54,0.6913,0.3086,1823,4084,1,0.446405323304,0.373440395306,0
CAJIBIO,23310,138,6924,http://plebiscito.registraduria.gov.co/99PL/DPL11013ZZZZZZZZZZZZ_L1.htm,CAUCA,7230,168,0.2891,0.7108,4922,2002,1,2.45866482186,0.310167310167,0
CAJICA,38304,275,19738,http://plebiscito.registraduria.gov.co/99PL/DPL15031ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,20062,49,0.5432,0.4567,9016,10722,0,0.840758468336,0.523757309942,0
CALAMAR,5482,24,1496,http://plebiscito.registraduria.gov.co/99PL/DPL54003ZZZZZZZZZZZZ_L1.htm,GUAVIARE,1537,17,0.2787,0.7212,1079,417,3,2.58772874058,0.280372126961,0
CALARCA,58297,377,23324,http://plebiscito.registraduria.gov.co/99PL/DPL26010ZZZZZZZZZZZZ_L1.htm,QUINDIO,23963,262,0.6241,0.3758,8767,14557,0,0.602147091812,0.411050311337,0
CALDAS,3278,24,1104,http://plebiscito.registraduria.gov.co/99PL/DPL07037ZZZZZZZZZZZZ_L1.htm,BOYACA,1139,11,0.4103,0.5896,651,453,0,1.43699731903,0.347467968273,0
CALDONO,20628,267,8507,http://plebiscito.registraduria.gov.co/99PL/DPL11016ZZZZZZZZZZZZ_L1.htm,CAUCA,8943,169,0.2015,0.7984,6792,1715,0,3.96228287841,0.433536940081,0
CALI,1637938,4496,589451,http://plebiscito.registraduria.gov.co/99PL/DPL31001ZZZZZZZZZZZZ_L1.htm,VALLE,596245,2298,0.4572,0.5427,319949,269502,0,1.18700787402,0.364021715108,0
CALIFORNIA,1676,19,684,http://plebiscito.registraduria.gov.co/99PL/DPL27031ZZZZZZZZZZZZ_L1.htm,SANTANDER,708,5,0.7777,0.2222,152,532,0,0.285714285714,0.422434367542,0
CALIMA (DARIEN),13908,77,4587,http://plebiscito.registraduria.gov.co/99PL/DPL31040ZZZZZZZZZZZZ_L1.htm,VALLE,4705,41,0.512,0.4879,2238,2349,1,0.9529296875,0.338294506759,0
CALOTO,17687,166,8058,http://plebiscito.registraduria.gov.co/99PL/DPL11019ZZZZZZZZZZZZ_L1.htm,CAUCA,8294,70,0.2709,0.729,5875,2183,0,2.69102990033,0.468931983943,0
CAMPAMENTO,6360,41,1223,http://plebiscito.registraduria.gov.co/99PL/DPL01073ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1296,32,0.4938,0.5061,619,604,0,1.02490886999,0.203773584906,0
CAMPO DE LA CRUZ,19302,14,2785,http://plebiscito.registraduria.gov.co/99PL/DPL03007ZZZZZZZZZZZZ_L1.htm,ATLANTICO,2812,13,0.3795,0.6204,1728,1057,0,1.6347826087,0.145684385038,1
CAMPOALEGRE,24718,173,9945,http://plebiscito.registraduria.gov.co/99PL/DPL19022ZZZZZZZZZZZZ_L1.htm,HUILA,10181,63,0.6167,0.3832,3811,6134,0,0.62137181774,0.411886074925,0
CAMPOHERMOSO,2508,23,939,http://plebiscito.registraduria.gov.co/99PL/DPL07040ZZZZZZZZZZZZ_L1.htm,BOYACA,977,15,0.46,0.5399,507,432,0,1.17369565217,0.389553429027,0
CANADA,17355,6,4276,http://plebiscito.registraduria.gov.co/99PL/DPL88250ZZZZZZZZZZZZ_L1.htm,CONSULADOS,4283,1,0.3645,0.6354,2717,1559,0,1.74320987654,0.24678766926,0
CANALETE,16098,20,3417,http://plebiscito.registraduria.gov.co/99PL/DPL13009ZZZZZZZZZZZZ_L1.htm,CORDOBA,3468,31,0.2273,0.7726,2640,777,0,3.39903211615,0.215430488259,0
CANDELARIA,68548,440,23423,http://plebiscito.registraduria.gov.co/99PL/DPL31031ZZZZZZZZZZZZ_L1.htm,VALLE,23999,136,0.5347,0.4652,10898,12525,0,0.870020572284,0.350105035887,0
CANTAGALLO,6076,44,2610,http://plebiscito.registraduria.gov.co/99PL/DPL05014ZZZZZZZZZZZZ_L1.htm,BOLIVAR,2671,17,0.2804,0.7195,1878,732,0,2.56597717546,0.439598420013,1
CAPARRAPI,10164,74,3246,http://plebiscito.registraduria.gov.co/99PL/DPL15034ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,3377,57,0.6395,0.3604,1170,2076,0,0.563565285379,0.332251082251,0
CAPITANEJO,4870,32,1775,http://plebiscito.registraduria.gov.co/99PL/DPL27034ZZZZZZZZZZZZ_L1.htm,SANTANDER,1840,33,0.6214,0.3785,672,1103,0,0.609108464757,0.377823408624,0
CAQUEZA,14339,109,5394,http://plebiscito.registraduria.gov.co/99PL/DPL15037ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,5525,22,0.629,0.3709,2001,3393,0,0.589666136725,0.385312783318,0
CARACOLI,4856,12,1171,http://plebiscito.registraduria.gov.co/99PL/DPL01078ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1199,16,0.5064,0.4935,578,593,0,0.974526066351,0.246911037891,0
CARAMANTA,5231,26,1358,http://plebiscito.registraduria.gov.co/99PL/DPL01079ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1417,33,0.5817,0.4182,568,790,0,0.718927282104,0.27088510801,0
CARCASI,3656,61,1567,http://plebiscito.registraduria.gov.co/99PL/DPL27037ZZZZZZZZZZZZ_L1.htm,SANTANDER,1651,23,0.6751,0.3248,509,1058,0,0.481113909051,0.45158643326,0
CAREPA,41461,190,11384,http://plebiscito.registraduria.gov.co/99PL/DPL01080ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,11733,159,0.532,0.4679,5327,6057,0,0.879511278195,0.282988832879,0
CARMEN DE APICALA,8453,34,3460,http://plebiscito.registraduria.gov.co/99PL/DPL29025ZZZZZZZZZZZZ_L1.htm,TOLIMA,3506,12,0.6479,0.352,1218,2242,0,0.543293718166,0.414763989116,0
CARMEN DE CARUPA,6176,41,2067,http://plebiscito.registraduria.gov.co/99PL/DPL15040ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2120,12,0.6226,0.3773,780,1287,0,0.606007067138,0.343264248705,0
CARMEN DE VIBORAL,33070,272,16315,http://plebiscito.registraduria.gov.co/99PL/DPL01082ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,16750,163,0.6611,0.3388,5528,10787,0,0.512479201331,0.50650136075,0
CARMEN DEL DARIEN,5537,8,1348,http://plebiscito.registraduria.gov.co/99PL/DPL17015ZZZZZZZZZZZZ_L1.htm,CHOCO,1368,12,0.043,0.9569,1290,58,3,22.2534883721,0.247065197761,0
CAROLINA,4081,23,1105,http://plebiscito.registraduria.gov.co/99PL/DPL01085ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,1150,22,0.58,0.4199,464,641,0,0.723965517241,0.28179367802,0
CARTAGENA,732774,518,146235,http://plebiscito.registraduria.gov.co/99PL/DPL05001ZZZZZZZZZZZZ_L1.htm,BOLIVAR,147441,688,0.4426,0.5573,81500,64735,0,1.25915047447,0.20120937697,1
CARTAGENA DEL CHAIRA,18805,81,4786,http://plebiscito.registraduria.gov.co/99PL/DPL44003ZZZZZZZZZZZZ_L1.htm,CAQUETA,4927,60,0.2624,0.7375,3530,1256,2,2.8105945122,0.262004785961,0
CARTAGO,111785,554,38946,http://plebiscito.registraduria.gov.co/99PL/DPL31034ZZZZZZZZZZZZ_L1.htm,VALLE,39722,222,0.6188,0.3811,14845,24101,0,0.615869424693,0.355342845641,0
CARURU,1721,7,458,http://plebiscito.registraduria.gov.co/99PL/DPL68004ZZZZZZZZZZZZ_L1.htm,VAUPES,465,0,0.1659,0.834,382,76,3,5.02712477396,0.270191748983,0
CASABIANCA,4940,22,1875,http://plebiscito.registraduria.gov.co/99PL/DPL29028ZZZZZZZZZZZZ_L1.htm,TOLIMA,1926,29,0.5082,0.4917,922,953,0,0.967532467532,0.38987854251,0
CASTILLA LA NUEVA,10531,149,6089,http://plebiscito.registraduria.gov.co/99PL/DPL52010ZZZZZZZZZZZZ_L1.htm,META,6274,36,0.7144,0.2855,1739,4350,0,0.399636058231,0.595764884626,0
CAUCASIA,66133,368,20296,http://plebiscito.registraduria.gov.co/99PL/DPL01088ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,20911,247,0.5663,0.4336,8801,11495,2,0.765671905351,0.316196150182,0
CAÑASGORDAS,13402,121,4650,http://plebiscito.registraduria.gov.co/99PL/DPL01076ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,4884,113,0.589,0.4109,1911,2739,0,0.697623089983,0.364423220415,0
CEPITA,1771,25,902,http://plebiscito.registraduria.gov.co/99PL/DPL27040ZZZZZZZZZZZZ_L1.htm,SANTANDER,943,16,0.3525,0.6474,584,318,0,1.83659574468,0.532467532468,0
CERETE,71178,256,22925,http://plebiscito.registraduria.gov.co/99PL/DPL13010ZZZZZZZZZZZZ_L1.htm,CORDOBA,23285,104,0.4876,0.5123,11746,11179,0,1.05065627564,0.327137598696,0
CERINZA,3482,54,1556,http://plebiscito.registraduria.gov.co/99PL/DPL07043ZZZZZZZZZZZZ_L1.htm,BOYACA,1628,18,0.3823,0.6176,961,595,0,1.61548522103,0.467547386559,0
CERRITO,4803,82,2058,http://plebiscito.registraduria.gov.co/99PL/DPL27043ZZZZZZZZZZZZ_L1.htm,SANTANDER,2177,37,0.5388,0.4611,949,1109,0,0.85579064588,0.453258380179,0
CERRO DE SAN ANTONIO,8394,23,2409,http://plebiscito.registraduria.gov.co/99PL/DPL21013ZZZZZZZZZZZZ_L1.htm,MAGDALENA,2443,11,0.0933,0.9066,2184,225,0,9.71704180064,0.291041219919,1
CERTEGUI,4109,87,1620,http://plebiscito.registraduria.gov.co/99PL/DPL17014ZZZZZZZZZZZZ_L1.htm,CHOCO,1709,2,0.2358,0.7641,1238,382,0,3.24045801527,0.415916281334,0
CHACHAGUI,9510,50,3804,http://plebiscito.registraduria.gov.co/99PL/DPL23038ZZZZZZZZZZZZ_L1.htm,NARIÑO,3897,43,0.3751,0.6248,2377,1427,0,1.66568914956,0.409779179811,0
CHAGUANI,3664,19,1461,http://plebiscito.registraduria.gov.co/99PL/DPL15052ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,1503,23,0.4934,0.5065,740,721,0,1.02655046615,0.410207423581,0
CHALAN,4403,19,1335,http://plebiscito.registraduria.gov.co/99PL/DPL28045ZZZZZZZZZZZZ_L1.htm,SUCRE,1394,40,0.349,0.6509,869,466,0,1.86504297994,0.316602316602,0
CHAMEZA,1551,25,934,http://plebiscito.registraduria.gov.co/99PL/DPL46120ZZZZZZZZZZZZ_L1.htm,CASANARE,968,9,0.2901,0.7098,663,271,0,2.44674250259,0.624113475177,0
CHAPARRAL,38101,172,12170,http://plebiscito.registraduria.gov.co/99PL/DPL29040ZZZZZZZZZZZZ_L1.htm,TOLIMA,12516,174,0.55,0.4499,5476,6694,2,0.818,0.328495315084,0
CHARALA,9583,53,3501,http://plebiscito.registraduria.gov.co/99PL/DPL27061ZZZZZZZZZZZZ_L1.htm,SANTANDER,3582,28,0.3864,0.6135,2148,1353,0,1.58773291925,0.373786914327,0
CHARTA,3218,18,1313,http://plebiscito.registraduria.gov.co/99PL/DPL27064ZZZZZZZZZZZZ_L1.htm,SANTANDER,1339,8,0.7166,0.2833,372,941,0,0.395339101312,0.41609695463,0
CHIA,83132,424,43432,http://plebiscito.registraduria.gov.co/99PL/DPL15055ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,43940,84,0.4999,0.5,21717,21715,0,1.00020004001,0.528556993697,0
CHIGORODO,44791,187,12067,http://plebiscito.registraduria.gov.co/99PL/DPL01106ZZZZZZZZZZZZ_L1.htm,ANTIOQUIA,12392,138,0.476,0.5239,6322,5745,1,1.1006302521,0.276662722422,0
CHILE,5228,1,1300,http://plebiscito.registraduria.gov.co/99PL/DPL88305ZZZZZZZZZZZZ_L1.htm,CONSULADOS,1302,1,0.3238,0.6761,879,421,0,2.08801729463,0.249043611324,0
CHIMA,2338,31,857,http://plebiscito.registraduria.gov.co/99PL/DPL27067ZZZZZZZZZZZZ_L1.htm,SANTANDER,913,25,0.3488,0.6511,558,299,0,1.86668577982,0.390504704876,0
CHIMICHAGUA,23597,95,6161,http://plebiscito.registraduria.gov.co/99PL/DPL12300ZZZZZZZZZZZZ_L1.htm,CESAR,6286,30,0.4599,0.54,3327,2834,0,1.17416829746,0.266389795313,0
CHINA REPUBLICA POPULAR,430,0,78,http://plebiscito.registraduria.gov.co/99PL/DPL88315ZZZZZZZZZZZZ_L1.htm,CONSULADOS,78,0,0.1282,0.8717,68,10,0,6.79953198128,0.181395348837,0
CHINACOTA,11426,90,5334,http://plebiscito.registraduria.gov.co/99PL/DPL25028ZZZZZZZZZZZZ_L1.htm,NORTE DE SAN,5453,29,0.6282,0.3717,1983,3351,0,0.591690544413,0.477244880098,0
CHINAVITA,3131,17,918,http://plebiscito.registraduria.gov.co/99PL/DPL07064ZZZZZZZZZZZZ_L1.htm,BOYACA,942,7,0.5413,0.4586,421,497,0,0.847219656383,0.300862344299,0
CHINCHINA,43763,315,16728,http://plebiscito.registraduria.gov.co/99PL/DPL09034ZZZZZZZZZZZZ_L1.htm,CALDAS,17205,162,0.6302,0.3697,6185,10543,0,0.586639162171,0.393140324018,0
CHINU,35501,174,12779,http://plebiscito.registraduria.gov.co/99PL/DPL13019ZZZZZZZZZZZZ_L1.htm,CORDOBA,13226,273,0.4965,0.5034,6434,6345,0,1.01389728097,0.372552885834,0
CHIPAQUE,7434,43,2877,http://plebiscito.registraduria.gov.co/99PL/DPL15058ZZZZZZZZZZZZ_L1.htm,CUNDINAMARCA,2928,8,0.6899,0.31,892,1985,0,0.449340484128,0.393866020985,0
CHIPATA,4142,12,960,http://plebiscito.registraduria.gov.co/99PL/DPL27070ZZZZZZZZZZZZ_L1.htm,SANTANDER,989,17,0.2843,0.7156,687,273,0,2.51705944425,0.238773539353,0
CHIPRE,41,1,23,http://plebiscito.registraduria.gov.co/99PL/DPL88320ZZZZZZZZZZZZ_L1.htm,CONSULADOS,24,0,0.4347,0.5652,13,10,0,1.30020703934,0.585365853659,0
CHIQUINQUIRA,40893,303,16729,http://plebiscito.registraduria.gov.co/99PL/DPL07067ZZZZZZZZZZZZ_L1.htm,BOYACA,17119,87,0.5152,0.4847,8110,8619,0,0.940799689441,0.418629105226,0
CHIQUIZA,4330,27,867,http://plebiscito.registraduria.gov.co/99PL/DPL07068ZZZZZZZZZZZZ_L1.htm,BOYACA,912,18,0.3806,0.6193,537,330,0,1.62716763006,0.210623556582,0
